,SID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,dohyung,-8281.130508347665,-978.7309264920241,22.828719224998437,-54.10856262398286,-531.2805995995644,-203.29634210382608,424.8712654881213,-236.04814493483613,-265.9490591292219,-41.83910360126937,388.6578502244152,-93.20404891112258,45.692586111001376,-151.67293171530184,630.7481769789107,-371.55673010747745,1448.9419342646388,-517.2978068693303,-422.61108423649233,1604.1674422008603
1,dohyung,-8066.945236917361,-778.2700957708226,633.0774239329264,50.85621565936065,422.9533667632805,625.6848814631479,638.8305020468505,-308.26683370213794,-220.2436261114161,-64.47041608487764,444.4587350114619,143.14489880741243,183.54084018282586,-1245.6357509345812,901.517416506209,406.75386783990825,2144.7420711022824,-625.1736447232701,-25.211656445320255,1857.3726757446746
2,dohyung,-6049.175845206191,238.2756485456219,2971.271704511909,523.5798759893718,2711.6885215974694,1459.0639597519064,-321.567796846299,-441.4000292143411,-530.173542033164,1102.0898031299325,-1395.91243166281,-1031.536068664969,-441.30435423799764,-541.8324592521753,-274.6131096911232,-150.50387480861497,-535.4507502443732,-212.6650940414077,-270.7107928615609,398.4253711772601
3,dohyung,-7519.242835742926,95.93464632415402,1647.0090835496133,479.28818605415404,2675.4524678483394,1502.9066842114294,-216.79483806786038,-499.2880432835273,197.20379803298007,99.77563276693601,-469.1650749958192,-381.1868539508136,-25.830787786199437,522.744938489417,-79.57897399240228,118.57146573833153,-1066.761383631245,537.9953186240026,180.55648510000788,-1383.0303475829373
4,dohyung,-7399.460864552236,103.30804136266731,1775.2885046553076,465.30776962728805,2907.109077985233,1163.0834884345566,-199.87670231737795,-441.33934779186416,107.41945110765839,64.12172684034911,-719.95118051279,-696.4656230071025,-171.89281406201204,779.9843731312507,-186.23843847108807,-97.4310220254569,-998.2124693118102,406.3270934049276,-25.48647008939389,-1087.5571943610253
5,dohyung,-7390.312968391831,-72.6140023996802,1559.155215046095,180.23141837588878,2982.6273332324167,1309.3742587302427,44.73821552586576,-452.798251466366,441.5153434254836,170.10361549980212,-383.85647175912,-237.47063089918288,154.4581183672595,600.1830208723859,-337.1197186692375,-338.26149840803333,-91.19185699774708,106.5393651258328,-69.32638170480865,-429.1789633049281
6,dohyung,-7642.137164438018,92.48599418090265,1631.4084637947358,412.4697886446176,2658.722084067091,1673.557893916462,-153.73095811360142,-700.1436476617966,136.94441290203872,103.12029674535705,-427.059104037194,-344.7905082796378,123.81238026155464,286.32362674534784,2.4283830707353697,77.55187507047494,-772.1491444155293,397.4724349395191,116.90629077686715,-1025.7455049459793
7,dohyung,-7361.816965280386,158.48077799557822,1896.2026749856122,627.3450872229404,2706.307474975312,1421.3463668091886,-470.31301978941747,-519.1081016903117,-23.056645085473303,582.6838583605991,-1074.6109802274173,-855.5621428663851,-208.65023192775058,88.00434599615024,-383.21894231264434,61.64100004377231,-843.3026617664472,184.68785930334576,-191.28989600068945,-942.4426970431911
8,dohyung,-6844.928403982698,181.88789566779377,2320.7449056050773,455.6833923100463,2809.2585508715956,1021.4137869666965,-201.3986388840505,-441.6588238345535,-261.74911109351837,815.6822969234709,-1738.654882744958,-1096.6274731279334,-417.54643240556936,-709.7939632211114,-473.1186038581972,258.46153041073154,197.92333842098583,-774.9347998770552,-521.8729716335451,533.1774320811273
9,dohyung,-7425.685686167252,76.71847833966252,1979.2228494280262,542.7415721571862,2937.0287608539606,1571.9348233196718,-310.18823994555834,-619.7440692659347,-115.86004471971854,455.7069391467314,-1277.598271688491,-1015.6872316522954,-231.56359295359027,-346.87687396519095,-350.43699303285325,162.98798353849037,-359.74711338105965,-261.2499447772613,-337.2353630704205,-91.41588865020525
10,dohyung,-7343.420153550378,89.2495470667353,2092.3651543448436,604.8490425001143,3164.9425936409802,1439.727100768343,-296.7619268590838,-595.0931592604536,-136.85578752505072,584.3337752238474,-1236.7052317992527,-1032.805120086939,-210.7124730844129,-109.54256505670489,-423.7711686625937,66.19258470664826,-603.1437317307856,-61.187028944051725,-285.187735584288,-434.58844956559324
11,dohyung,-8526.604941439477,-496.8120012001499,-156.95971268509783,270.18332030865866,920.8737315956442,402.51649075945585,136.07599954882537,-459.8495105204005,627.7988743665605,-949.1605997900064,1994.583855570545,1063.6535106248286,497.57915975341376,1198.4432937487386,106.30354952179783,-360.9155621827262,-303.71971857449535,452.16687162354555,294.7201242570055,-298.5951175525365
12,dohyung,-7794.402223776157,-443.98479301818264,1107.2549980672427,241.26873963176524,1104.8715479220054,1435.6230194679006,536.9633796459636,-303.77018639294465,-219.05407107263335,29.934407325625664,117.76473619738482,162.6785088345344,297.29506469576023,-1532.508900181029,858.8885246619229,587.3854662657993,1886.4523217835779,-31.827896262514408,232.6451292931746,814.8890526900764
13,dohyung,-7308.086570618757,59.01734660097054,2143.0843396177765,596.8342997302191,3183.5370031128573,1485.0946705524489,-223.8135264619362,-639.452608821851,-257.8671294632071,523.6348488944717,-1254.3201957230895,-1056.8339200891037,-165.1145886889301,-133.26663436376157,-353.9425458286637,33.49709182019949,-657.4436500000849,-12.442666462274069,-265.94327703621724,-315.26031049754357
14,dohyung,-7878.919257738343,-111.20625160796293,1415.0451808176783,501.7491647271509,2837.6923434121877,1342.8821673129269,-12.981970051690258,-765.8473386977806,156.3682083651595,-213.69525134102187,61.53901948449975,-137.55649085957438,278.09785269997644,483.50038992324903,-19.841457812567388,-34.5650884022013,-413.75826383953756,348.0441951022879,173.53501002704408,-621.6777151879094
